model,utmos_mean,utmos_std,n_utterances
openvoice,3.715826808164517,0.4144363524924394,192
styletts2,3.710073315848907,0.5358886350451972,192
hierspeech,3.6243794526460875,0.48604055613282177,193
qwen3-tts,3.5825115256412055,0.6974675701573524,186
fish-speech,3.4754938498679837,0.6977652504630999,193
tortoise,3.146745614548947,0.7349622329438414,188
whisperspeech,3.0134621290345267,0.7288081261088999,193
f5-tts,2.936446918242889,0.6640517934812461,191
indextts,2.8815934285521507,0.7065206145403953,192
vibevoice,2.7498562590529523,0.7416689654919668,192
vevo,2.6676931900063945,0.7090678617404824,193
xtts,2.6269042183080487,0.6912611994887159,193
e2-tts,2.6099347625103295,0.7311198245420397,191
maskgct,2.5802027998170303,0.6847423941539083,191
gpt-sovits,2.569675088569682,0.6399708408176437,186
voicecraft,2.4215777831551915,0.6624941119914225,191
recording,2.3562861933656363,0.705551242284217,368
metavoice,2.0856496629615626,0.6417720647717192,192
