subjective_label,objective_source,benchmark_category,n_models,spearman_rank_vs_objective_rank,spearman_rank_vs_objective_rank_p,spearman_rank_vs_score,spearman_rank_vs_score_p,spearman_worth_vs_score,spearman_worth_vs_score_p,pearson_worth_vs_score,pearson_worth_vs_score_p
intel,aggregated_results_sap_very_high_wer__sap_readable_01_very_high_wer.csv,GENERIC,18,-0.87203302373581,2.4017641453772196e-06,0.87203302373581,2.4017641453772196e-06,-0.87203302373581,2.4017641453772196e-06,-0.8144712237498035,3.872179502519379e-05
intel,aggregated_results_sap_very_high_wer__libritts.csv,GENERIC,18,0.8658410732714137,3.434510604967861e-06,-0.8658410732714137,3.434510604967861e-06,0.8658410732714137,3.434510604967861e-06,0.8081328933306139,4.958999805761466e-05
intel,aggregated_results_sap_very_high_wer__libritts.csv,OVERALL,18,0.8513931888544891,7.42168762562196e-06,-0.8513931888544891,7.42168762562196e-06,0.8513931888544891,7.42168762562196e-06,0.7653939297635768,0.00021423304501822895
intel,aggregated_results_sap_very_high_wer__libritts.csv,PROSODY,18,0.8369453044375645,1.4859874205555088e-05,-0.8369453044375645,1.4859874205555088e-05,0.8369453044375645,1.4859874205555088e-05,0.7376831455119583,0.0004755045174887184
intel,UTMOS,UTMOS,18,0.8307533539731682,1.9612643482449587e-05,-0.8307533539731682,1.9612643482449587e-05,0.8307533539731682,1.9612643482449587e-05,0.6987157810061682,0.0012558750032569043
intel,aggregated_results_sap_very_high_wer__libritts.csv,SPEAKER,18,0.8101135190918473,4.594554343625327e-05,-0.8101135190918473,4.594554343625327e-05,0.8101135190918473,4.594554343625327e-05,0.6697972016281138,0.0023584024059776646
intel,aggregated_results_sap_very_high_wer__sap_readable_01_very_high_wer.csv,OVERALL,18,-0.7523219814241485,0.00031600857312329123,0.7523219814241485,0.00031600857312329123,-0.7523219814241485,0.00031600857312329123,-0.7157541596460356,0.0008371282002895263
intel,aggregated_results_sap_very_high_wer__sap_readable_01_very_high_wer.csv,INTELLIGIBILITY,18,-0.6883384932920537,0.0015871002439845348,0.6883384932920537,0.0015871002439845348,-0.6883384932920537,0.0015871002439845348,-0.5167035709409513,0.02812182809297889
intel,aggregated_results_sap_very_high_wer__sap_readable_01_very_high_wer.csv,SPEAKER,18,-0.6821465428276574,0.0018170810177521779,0.6821465428276574,0.0018170810177521779,-0.6821465428276574,0.0018170810177521779,-0.6390799488643016,0.0043000051014494235
intel,aggregated_results_sap_very_high_wer__sap_readable_01_very_high_wer.csv,PROSODY,18,-0.6697626418988648,0.0023600851881755407,0.6697626418988648,0.0023600851881755407,-0.6697626418988648,0.0023600851881755407,-0.7292712273771764,0.0005944052132114613
