"rank","item","estimate","SE","quasiSE","quasiVar","estimate_vs_mean","se_vs_mean","z_vs_mean","p_vs_mean","estimate_vs_recording","p_vs_recording"
1,"styletts2",7.35473764138706,1.06677498823974,0.310870411791902,0.0966404129276665,2.45258453552005,0.313051160791255,7.8344527754537,4.70889014194746e-15,7.35473764138706,5.41054044124883e-12
2,"openvoice",6.56135052845577,1.06439107181428,0.319968935766263,0.102380119855395,1.65919742258875,0.31612320219596,5.24857843734052,1.53277376953653e-07,6.56135052845577,7.07432447148105e-10
3,"fish.speech",6.03682954661918,1.04242459091826,0.244031341937357,0.0595512958477471,1.13467644075216,0.250383133058474,4.5317606936693,5.84940925324334e-06,6.03682954661918,6.9909152686195e-09
4,"qwen3.tts",6.0315929599841,1.04368779116818,0.225076879325725,0.050659601607007,1.12943985411708,0.236298171965711,4.77972319769351,1.75536701785866e-06,6.0315929599841,7.50940767000908e-09
5,"f5.tts",6.03092157928828,1.05472059076651,0.274021925133419,0.0750880154538249,1.12876847342126,0.279590225062676,4.03722438138968,5.40873318248569e-05,6.03092157928828,1.07767562863175e-08
6,"tortoise",5.54499083672332,1.07672804510653,0.347466169693185,0.120732739081253,0.642837730856305,0.34119646162506,1.8840691600217,0.059555621147282,5.54499083672332,2.60691104535566e-07
7,"vibevoice",5.47467214002922,1.0410786774992,0.255095228371288,0.0650735755377994,0.5725190341622,0.258171529711673,2.21759167171373,0.0265826862604635,5.47467214002922,1.45113944173183e-07
8,"whisperspeech",5.31707917725478,1.05681577847848,0.318124467910216,0.101203177083158,0.414926071387769,0.316836116724461,1.30959208715657,0.190333866735323,5.31707917725478,4.87352869141272e-07
9,"xtts",5.12435601804802,1.12934945475643,0.493676889679466,0.243716871403591,0.222202912181003,0.475298384585935,0.467501930128753,0.6401408114915,5.12435601804802,5.69410733153724e-06
10,"gpt.sovits",5.07793252670201,1.10101125387092,0.427548025011506,0.182797313691239,0.175779420834995,0.415508638329922,0.423046369244007,0.672261430288509,5.07793252670201,3.98693397694712e-06
11,"indextts",4.96149952680145,1.04372426468184,0.319023469733071,0.101775974240527,0.0593464209344395,0.314535509605036,0.188679558021799,0.850343974140437,4.96149952680145,1.99777067655416e-06
12,"hierspeech",4.68315516859304,1.04172058096256,0.255867284805775,0.0654680674338795,-0.218997937273975,0.252422694208946,-0.86758418437883,0.38562200761136,4.68315516859304,6.93752574664049e-06
13,"metavoice",4.37485937309078,1.08011236576074,0.365155965253272,0.133338878960049,-0.527293732776233,0.357264691527013,-1.47591896227552,0.139965648354421,4.37485937309078,5.11357715338273e-05
14,"vevo",4.30172370197253,1.0810447821565,0.375858886461803,0.141269902532307,-0.600429403894482,0.364969624460434,-1.64514897584189,0.0999390928027205,4.30172370197253,6.91394018459202e-05
15,"e2.tts",4.11821068137815,1.03791146098557,0.281426676344912,0.0792009741585436,-0.783942424488863,0.276467102387173,-2.83557218099319,0.00457436769535838,4.11821068137815,7.25433948821599e-05
16,"voicecraft",3.67431458016339,1.05202107346006,0.31079063827551,0.0965908208396989,-1.22783852570363,0.30516556042474,-4.02351603501614,5.73356784794908e-05,3.67431458016339,0.000478298565539495
17,"maskgct",3.5705299191152,1.05225600077107,0.335258203224245,0.112398062829149,-1.33162318675182,0.327247767635379,-4.0691589628673,4.71831484784876e-05,3.5705299191152,0.000690776198085097
18,"recording",0,0,1.01099092168536,1.02210264373021,-4.90215310586701,0.957829752095499,-5.11797957324075,3.08826039783765e-07,0,NA
