"rank","item","estimate","SE","quasiSE","quasiVar"
1,"qwen3.tts",0.317398723409799,0.470853717254793,0.427344135451093,0.182623010104442
2,"indextts",0.163458700013522,0.45529148407582,0.359244727276182,0.129056774075738
3,"recording",0,0,0.306148526199256,0.0937269200939764
4,"e2.tts",-0.831598125330395,0.388061296214664,0.280395058332828,0.0786213887374702
5,"f5.tts",-1.22124076883453,0.410476676188276,0.27365972493242,0.074889645050088
6,"vibevoice",-1.65097131714821,0.45335727838563,0.338326263014781,0.114464660245547
7,"fish.speech",-1.81283702895312,0.485348922451411,0.350349548337358,0.122744806020191
8,"hierspeech",-1.98895599630293,0.514853832801097,0.394325492899895,0.155492594350745
9,"voicecraft",-2.18098694371845,0.415702255209203,0.280103301036392,0.0784578592514834
10,"tortoise",-2.20868955441487,0.428578443408356,0.293482236824622,0.0861318233315835
11,"maskgct",-2.48063080699836,0.483733632312128,0.364876669558909,0.133134983988402
12,"vevo",-2.5395361116823,0.502014999404004,0.374301418615438,0.140101551977529
13,"gpt.sovits",-2.56398770420866,0.53765005277562,0.445687246573255,0.198637121758049
14,"whisperspeech",-2.60623944981779,0.484465417718332,0.370044394577504,0.136932853958231
15,"openvoice",-2.61233845985587,0.421492532755672,0.282513686122159,0.07981398284633
16,"styletts2",-2.62845214901266,0.565536823196634,0.45536843305189,0.207360409820133
17,"metavoice",-2.83840817953614,0.649711611876189,0.551262085611345,0.30388988703257
18,"xtts",-3.99775562565176,0.589584283272621,0.480124678957427,0.230519707343973
